"geneNID"	"geneId"	"geneNmea"	"geneDescription"	"pLI"	"DSI"	"DPI"
"13043"	"79966"	"SCD5"	"stearoyl-CoA desaturase 5"	"0.0010398"	"0.682"	"0.654"
"13044"	"79968"	"WDR76"	"WD repeat domain 76"	"2.7667e-09"	"0.839"	"0.192"
"13045"	"79969"	"ATAT1"	"alpha tubulin acetyltransferase 1"	"1.3216e-07"	"0.7"	"0.5"
"13046"	"79970"	"ZNF767P"	"zinc finger family member 767, pseudogene"		"1"	"0.077"
"13047"	"79971"	"WLS"	"Wnt ligand secretion mediator"	"0.020463"	"0.513"	"0.731"
"13048"	"79973"	"ZNF442"	"zinc finger protein 442"	"0.03048"	"1"	"0.077"
"13049"	"79974"	"CPED1"	"cadherin like and PC-esterase domain containing 1"	"1.8689e-24"	"0.769"	"0.5"
"13050"	"79977"	"GRHL2"	"grainyhead like transcription factor 2"	"0.99683"	"0.59"	"0.731"
"13051"	"79980"	"DSN1"	"DSN1 component of MIS12 kinetochore complex"	"8.8514e-08"	"0.89"	"0.077"
"13052"	"79981"	"FRMD1"	"FERM domain containing 1"	"3.6693e-14"		
"13053"	"79982"	"DNAJB14"	"DnaJ heat shock protein family (Hsp40) member B14"	"0.93874"		
"13054"	"79983"	"POF1B"	"POF1B actin binding protein"	"4.507e-11"	"0.751"	"0.308"
"13055"	"79987"	"SVEP1"	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	"0.99995"	"0.78"	"0.308"
"13056"	"79989"	"TTC26"	"tetratricopeptide repeat domain 26"	"2.4322e-08"	"1"	"0.038"
"13057"	"79990"	"PLEKHH3"	"pleckstrin homology, MyTH4 and FERM domain containing H3"	"4.8445e-07"	"0.931"	"0.077"
"13058"	"79991"	"STN1"	"STN1 subunit of CST complex"	"2.295e-10"	"0.604"	"0.769"
"13059"	"79993"	"ELOVL7"	"ELOVL fatty acid elongase 7"	"0.010183"	"0.821"	"0.231"
"13060"	"80000"	"GREB1L"	"GREB1 like retinoic acid receptor coactivator"	"1"	"0.686"	"0.423"
"13061"	"80003"	"PCNX2"	"pecanex 2"	"1.7151e-23"	"0.805"	"0.192"
"13062"	"80004"	"ESRP2"	"epithelial splicing regulatory protein 2"	"2.3333e-07"	"0.76"	"0.346"
"13063"	"80005"	"DOCK5"	"dedicator of cytokinesis 5"	"2.8994e-09"	"0.792"	"0.231"
"13064"	"80007"	"C10orf88"	"chromosome 10 open reading frame 88"	"0.012888"	"0.861"	"0.115"
"13065"	"80008"	"TMEM156"	"transmembrane protein 156"	"3.3366e-10"		
"13066"	"80010"	"RMI1"	"RecQ mediated genome instability 1"	"3.6565e-06"	"0.743"	"0.308"
"13067"	"80012"	"PHC3"	"polyhomeotic homolog 3"	"1"	"0.839"	"0.115"
"13068"	"80013"	"MINDY3"	"MINDY lysine 48 deubiquitinase 3"	"0.011165"	"0.743"	"0.462"
"13069"	"80014"	"WWC2"	"WW and C2 domain containing 2"	"1.5899e-07"	"0.839"	"0.077"
"13070"	"80017"	"DGLUCY"	"D-glutamate cyclase"	"1.6561e-22"	"0.839"	"0.154"
"13071"	"80018"	"NAA25"	"N-alpha-acetyltransferase 25, NatB auxiliary subunit"	"1"	"0.603"	"0.692"
"13072"	"80019"	"UBTD1"	"ubiquitin domain containing 1"	"0.74558"	"0.931"	"0.077"
"13073"	"80023"	"NRSN2"	"neurensin 2"	"0.0042391"	"0.78"	"0.192"
"13074"	"80024"	"SLC8B1"	"solute carrier family 8 member B1"	"2.0302e-16"	"0.861"	"0.077"
"13075"	"80025"	"PANK2"	"pantothenate kinase 2"	"7.4034e-07"	"0.559"	"0.808"
"13076"	"80028"	"FBXL18"	"F-box and leucine rich repeat protein 18"	"0.00015442"	"0.861"	"0.115"
"13077"	"80031"	"SEMA6D"	"semaphorin 6D"	"0.93948"	"0.7"	"0.385"
"13078"	"80034"	"CSRNP3"	"cysteine and serine rich nuclear protein 3"	"0.50018"	"0.805"	"0.192"
"13079"	"80036"	"TRPM3"	"transient receptor potential cation channel subfamily M member 3"	"5.6853e-07"	"0.663"	"0.769"
"13080"	"80045"	"GPR157"	"G protein-coupled receptor 157"	"0.00097453"		
"13081"	"80054"	"CEBPA-DT"	"CEBPA divergent transcript"		"0.821"	"0.115"
"13082"	"80055"	"PGAP1"	"post-GPI attachment to proteins inositol deacylase 1"	"3.1628e-08"	"0.65"	"0.423"
"13083"	"80059"	"LRRTM4"	"leucine rich repeat transmembrane neuronal 4"	"0.085808"	"0.861"	"0.192"
"13084"	"80063"	"ATF7IP2"	"activating transcription factor 7 interacting protein 2"	"0.15781"	"1"	"0.038"
"13085"	"80067"	"DCAF17"	"DDB1 and CUL4 associated factor 17"	"3.74e-07"	"0.653"	"0.577"
"13086"	"80069"	"LINC00574"	"long intergenic non-protein coding RNA 574"		"0.89"	"0.115"
"13087"	"80070"	"ADAMTS20"	"ADAM metallopeptidase with thrombospondin type 1 motif 20"	"4.4534e-38"	"0.76"	"0.385"
"13088"	"80072"	"HEXA-AS1"	"HEXA antisense RNA 1"			
"13089"	"80078"	"LCAL1"	"lung cancer associated lncRNA 1"		"0.89"	"0.077"
"13090"	"80086"	"TUBA4B"	"tubulin alpha 4b"		"0.736"	"0.269"
"13091"	"80095"	"ZNF606"	"zinc finger protein 606"	"0.41765"	"0.792"	"0.192"
"13092"	"80110"	"ZNF614"	"zinc finger protein 614"	"1.5117e-07"	"0.931"	"0.115"
"13093"	"80114"	"BICC1"	"BicC family RNA binding protein 1"	"0.83685"	"0.636"	"0.577"
"13094"	"80115"	"BAIAP2L2"	"BAR/IMD domain containing adaptor protein 2 like 2"	"1.2298e-09"	"0.89"	"0.077"
"13095"	"80117"	"ARL14"	"ADP ribosylation factor like GTPase 14"	"1.2351e-06"	"0.931"	"0.038"
"13096"	"80119"	"PIF1"	"PIF1 5'-to-3' DNA helicase"	"1.8307e-16"	"0.722"	"0.462"
"13097"	"80122"	"MAP3K19"	"mitogen-activated protein kinase kinase kinase 19"	"1.7574e-22"	"0.78"	"0.269"
"13098"	"80124"	"VCPIP1"	"valosin containing protein interacting protein 1"	"1"	"0.839"	"0.154"
"13099"	"80125"	"CCDC33"	"coiled-coil domain containing 33"	"4.9566e-20"	"0.839"	"0.269"
"13100"	"80127"	"BBOF1"	"basal body orientation factor 1"	"1.0672e-16"	"0.89"	"0.192"
"13101"	"80128"	"TRIM46"	"tripartite motif containing 46"	"0.99925"	"0.76"	"0.308"
"13102"	"80129"	"CCDC170"	"coiled-coil domain containing 170"	"8.6099e-24"	"0.751"	"0.308"
"13103"	"80131"	"LRRC8E"	"leucine rich repeat containing 8 VRAC subunit E"	"1.7415e-06"	"0.861"	"0.115"
"13104"	"80135"	"RPF1"	"ribosome production factor 1 homolog"	"2.3931e-08"	"1"	"0.038"
"13105"	"80139"	"ZNF703"	"zinc finger protein 703"	"0.35636"	"0.722"	"0.269"
"13106"	"80142"	"PTGES2"	"prostaglandin E synthase 2"	"2.361e-09"	"0.711"	"0.423"
"13107"	"80143"	"SIKE1"	"suppressor of IKBKE 1"	"0.19572"	"1"	"0.038"
"13108"	"80144"	"FRAS1"	"Fraser extracellular matrix complex subunit 1"	"3.0802e-45"	"0.56"	"0.577"
"13109"	"80145"	"THOC7"	"THO complex 7"	"0.0060818"	"1"	"0.038"
"13110"	"80146"	"UXS1"	"UDP-glucuronate decarboxylase 1"	"0.0029371"	"0.839"	"0.154"
"13111"	"80148"	"SLC66A2"	"solute carrier family 66 member 2"	"0.010336"	"1"	"0.077"
"13112"	"80149"	"ZC3H12A"	"zinc finger CCCH-type containing 12A"	"0.14015"	"0.578"	"0.654"
"13113"	"80150"	"ASRGL1"	"asparaginase and isoaspartyl peptidase 1"	"2.7632e-05"	"0.494"	"0.808"
"13114"	"80152"	"CENPT"	"centromere protein T"	"5.8498e-06"	"0.821"	"0.231"
"13115"	"80153"	"EDC3"	"enhancer of mRNA decapping 3"	"0.026011"	"0.682"	"0.308"
"13116"	"80155"	"NAA15"	"N-alpha-acetyltransferase 15, NatA auxiliary subunit"	"0.99578"	"0.7"	"0.423"
"13117"	"80157"	"CWH43"	"cell wall biogenesis 43 C-terminal homolog"	"7.2561e-22"	"0.931"	"0.115"
"13118"	"80162"	"PGGHG"	"protein-glucosylgalactosylhydroxylysine glucosidase"	"2.3064e-14"		
"13119"	"80168"	"MOGAT2"	"monoacylglycerol O-acyltransferase 2"	"0.010537"	"0.839"	"0.192"
"13120"	"80169"	"CTC1"	"CST telomere replication complex component 1"	"1.6015e-11"	"0.601"	"0.538"
"13121"	"80173"	"IFT74"	"intraflagellar transport 74"	"5.7205e-13"	"0.716"	"0.423"
"13122"	"80174"	"DBF4B"	"DBF4 zinc finger B"	"2.677e-11"	"0.931"	"0.077"
"13123"	"80176"	"SPSB1"	"splA/ryanodine receptor domain and SOCS box containing 1"	"0.51982"	"0.722"	"0.577"
"13124"	"80177"	"MYCT1"	"MYC target 1"	"0.0003656"	"0.792"	"0.308"
"13125"	"80178"	"TEDC2"	"tubulin epsilon and delta complex 2"	"7.1044e-12"	"1"	"0.077"
"13126"	"80179"	"MYO19"	"myosin XIX"	"1.5479e-34"	"0.931"	"0.077"
"13127"	"80183"	"RUBCNL"	"rubicon like autophagy enhancer"	"4.3599e-18"	"0.736"	"0.269"
"13128"	"80184"	"CEP290"	"centrosomal protein 290"	"1.0549e-60"	"0.517"	"0.769"
"13129"	"80185"	"TTI2"	"TELO2 interacting protein 2"	"3.6074e-07"	"0.736"	"0.346"
"13130"	"80194"	"TMEM134"	"transmembrane protein 134"	"2.0372e-10"	"0.931"	"0.154"
"13131"	"80195"	"TMEM254"	"transmembrane protein 254"	"0.0013335"	"1"	"0.038"
"13132"	"80196"	"RNF34"	"ring finger protein 34"	"0.61057"	"0.61"	"0.577"
"13133"	"80198"	"MUS81"	"MUS81 structure-specific endonuclease subunit"	"8.8469e-13"	"0.686"	"0.462"
"13134"	"80199"	"FUZ"	"fuzzy planar cell polarity protein"	"1.2613e-05"	"0.597"	"0.731"
"13135"	"80201"	"HKDC1"	"hexokinase domain containing 1"	"1.6205e-14"	"0.743"	"0.269"
"13136"	"80204"	"FBXO11"	"F-box protein 11"	"1"	"0.604"	"0.692"
"13137"	"80205"	"CHD9"	"chromodomain helicase DNA binding protein 9"	"1"	"0.805"	"0.231"
"13138"	"80206"	"FHOD3"	"formin homology 2 domain containing 3"	"0.066509"	"0.722"	"0.346"
"13139"	"80207"	"OPA3"	"outer mitochondrial membrane lipid metabolism regulator OPA3"	"0.5657"	"0.653"	"0.385"
"13140"	"80208"	"SPG11"	"SPG11 vesicle trafficking associated, spatacsin"	"1.6013e-39"	"0.576"	"0.538"
"13141"	"80209"	"PROSER1"	"proline and serine rich 1"	"0.71143"	"0.931"	"0.038"
"13142"	"80210"	"ARMC9"	"armadillo repeat containing 9"	"6.2032e-17"	"0.612"	"0.731"
"13143"	"80212"	"CCDC92"	"coiled-coil domain containing 92"	"0.29985"	"0.839"	"0.154"
"13144"	"80213"	"TM2D3"	"TM2 domain containing 3"	"7.9392e-09"	"0.89"	"0.115"
"13145"	"80215"	"RUNX1-IT1"	"RUNX1 intronic transcript 1"		"0.805"	"0.115"
"13146"	"80216"	"ALPK1"	"alpha kinase 1"	"1.0188e-19"	"0.644"	"0.615"
"13147"	"80217"	"CFAP43"	"cilia and flagella associated protein 43"	"1.3459e-22"	"0.931"	"0.038"
"13148"	"80218"	"NAA50"	"N-alpha-acetyltransferase 50, NatE catalytic subunit"	"0.73486"	"0.716"	"0.346"
"13149"	"80219"	"COQ10B"	"coenzyme Q10B"	"0.29421"	"1"	"0.038"
"13150"	"80221"	"ACSF2"	"acyl-CoA synthetase family member 2"	"1.4241e-05"	"0.931"	"0.038"
"13151"	"80222"	"TARS2"	"threonyl-tRNA synthetase 2, mitochondrial"	"1.2185e-12"	"0.729"	"0.423"
"13152"	"80223"	"RAB11FIP1"	"RAB11 family interacting protein 1"	"7.3324e-11"	"0.89"	"0.077"
"13153"	"80224"	"NUBPL"	"nucleotide binding protein like"	"1.0705e-05"	"0.67"	"0.423"
"13154"	"80228"	"ORAI2"	"ORAI calcium release-activated calcium modulator 2"	"0.20459"	"0.839"	"0.038"
"13155"	"80230"	"RUFY1"	"RUN and FYVE domain containing 1"	"2.1203e-08"	"0.861"	"0.192"
"13156"	"80231"	"CXorf21"	"chromosome X open reading frame 21"	"0.84298"	"0.89"	"0.269"
"13157"	"80232"	"WDR26"	"WD repeat domain 26"	"1"	"0.606"	"0.769"
"13158"	"80233"	"FAAP100"	"FA core complex associated protein 100"	"2.6956e-05"	"0.931"	"0.115"
"13159"	"80235"	"PIGZ"	"phosphatidylinositol glycan anchor biosynthesis class Z"	"1.2688e-05"	"1"	"0.038"
"13160"	"80237"	"ELL3"	"elongation factor for RNA polymerase II 3"	"1.6997e-12"	"0.89"	"0.154"
"13161"	"80243"	"PREX2"	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"	"3.3283e-16"	"0.743"	"0.385"
"13162"	"80254"	"CEP63"	"centrosomal protein 63"	"6.2444e-25"	"0.666"	"0.5"
"13163"	"80255"	"SLC35F5"	"solute carrier family 35 member F5"	"3.5033e-08"	"1"	"0.115"
"13164"	"80256"	"FAM214B"	"family with sequence similarity 214 member B"	"0.80243"	"1"	"0.038"
"13165"	"80258"	"EFHC2"	"EF-hand domain containing 2"	"0.9991"	"0.792"	"0.538"
"13166"	"80262"	"C16orf70"	"chromosome 16 open reading frame 70"	"0.98056"	"0.931"	"0.038"
"13167"	"80263"	"TRIM45"	"tripartite motif containing 45"	"2.061e-08"	"0.78"	"0.077"
"13168"	"80264"	"ZNF430"	"zinc finger protein 430"	"0.0086151"	"0.931"	"0.115"
"13169"	"80267"	"EDEM3"	"ER degradation enhancing alpha-mannosidase like protein 3"	"0.0024686"	"0.931"	"0.154"
"13170"	"80270"	"HSD3B7"	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7"	"2.694e-08"	"0.7"	"0.385"
"13171"	"80271"	"ITPKC"	"inositol-trisphosphate 3-kinase C"	"0.15241"	"0.78"	"0.346"
"13172"	"80273"	"GRPEL1"	"GrpE like 1, mitochondrial"	"0.13916"	"0.931"	"0.192"
"13173"	"80274"	"SCUBE1"	"signal peptide, CUB domain and EGF like domain containing 1"	"0.96076"	"0.743"	"0.5"
"13174"	"80279"	"CDK5RAP3"	"CDK5 regulatory subunit associated protein 3"	"7.6348e-15"	"0.7"	"0.462"
"13175"	"80298"	"MTERF2"	"mitochondrial transcription termination factor 2"	"2.464e-06"	"1"	"0.077"
"13176"	"80303"	"EFHD1"	"EF-hand domain family member D1"	"0.0051487"	"0.89"	"0.115"
"13177"	"80304"	"WDCP"	"WD repeat and coiled coil containing"	"0.0010242"	"0.89"	"0.115"
"13178"	"80305"	"TRABD"	"TraB domain containing"	"0.022862"	"0.839"	"0.308"
"13179"	"80306"	"MED28"	"mediator complex subunit 28"	"0.00011083"	"0.78"	"0.192"
"13180"	"80307"	"FER1L4"	"fer-1 like family member 4 (pseudogene)"		"0.711"	"0.346"
"13181"	"80308"	"FLAD1"	"flavin adenine dinucleotide synthetase 1"	"0.0093637"	"0.638"	"0.692"
"13182"	"80309"	"SPHKAP"	"SPHK1 interactor, AKAP domain containing"	"0.93594"	"0.695"	"0.462"
"13183"	"80310"	"PDGFD"	"platelet derived growth factor D"	"0.0017145"	"0.579"	"0.538"
"13184"	"80311"	"KLHL15"	"kelch like family member 15"	"0.99422"	"0.805"	"0.192"
"13185"	"80312"	"TET1"	"tet methylcytosine dioxygenase 1"	"1"	"0.523"	"0.808"
"13186"	"80314"	"EPC1"	"enhancer of polycomb homolog 1"	"1"	"0.743"	"0.423"
"13187"	"80315"	"CPEB4"	"cytoplasmic polyadenylation element binding protein 4"	"0.98555"	"0.621"	"0.462"
"13188"	"80316"	"PPP1R2C"	"PPP1R2C family member C"		"0.478"	"0.846"
"13189"	"80317"	"ZKSCAN3"	"zinc finger with KRAB and SCAN domains 3"	"1.9697e-11"	"0.736"	"0.462"
"13190"	"80318"	"GKAP1"	"G kinase anchoring protein 1"	"0.061133"	"1"	"0.077"
"13191"	"80319"	"CXXC4"	"CXXC finger protein 4"	"0.88863"	"0.751"	"0.192"
"13192"	"80320"	"SP6"	"Sp6 transcription factor"	"0.14961"	"0.769"	"0.308"
"13193"	"80321"	"CEP70"	"centrosomal protein 70"	"4.5554e-15"	"0.743"	"0.462"
"13194"	"80323"	"CCDC68"	"coiled-coil domain containing 68"	"8.7053e-13"	"0.821"	"0.346"
"13195"	"80324"	"PUS1"	"pseudouridine synthase 1"	"0.0016656"	"0.695"	"0.462"
"13196"	"80325"	"ABTB1"	"ankyrin repeat and BTB domain containing 1"	"2.1295e-05"	"1"	"0.077"
"13197"	"80326"	"WNT10A"	"Wnt family member 10A"	"4.1667e-09"	"0.547"	"0.731"
"13198"	"80328"	"ULBP2"	"UL16 binding protein 2"	"1.8392e-09"	"0.678"	"0.5"
"13199"	"80329"	"ULBP1"	"UL16 binding protein 1"	"6.885e-07"	"0.674"	"0.346"
"13200"	"80331"	"DNAJC5"	"DnaJ heat shock protein family (Hsp40) member C5"	"0.81216"	"0.653"	"0.5"
"13201"	"80332"	"ADAM33"	"ADAM metallopeptidase domain 33"	"2.1487e-15"	"0.636"	"0.423"
"13202"	"80333"	"KCNIP4"	"potassium voltage-gated channel interacting protein 4"	"0.82064"	"0.716"	"0.385"
"13203"	"80335"	"WDR82"	"WD repeat domain 82"	"0.88696"	"0.861"	"0.115"
"13204"	"80336"	"PABPC1L"	"poly(A) binding protein cytoplasmic 1 like"	"0.00043212"	"0.931"	"0.077"
"13205"	"80339"	"PNPLA3"	"patatin like phospholipase domain containing 3"	"5.7409e-08"	"0.556"	"0.692"
"13206"	"80341"	"BPIFB2"	"BPI fold containing family B member 2"	"4.7491e-12"	"0.861"	"0.385"
"13207"	"80342"	"TRAF3IP3"	"TRAF3 interacting protein 3"	"2.1912e-12"	"0.839"	"0.192"
"13208"	"80344"	"DCAF11"	"DDB1 and CUL4 associated factor 11"	"0.0063315"	"0.89"	"0.038"
"13209"	"80345"	"ZSCAN16"	"zinc finger and SCAN domain containing 16"	"2.1302e-07"	"1"	"0.077"
"13210"	"80346"	"REEP4"	"receptor accessory protein 4"	"0.027532"	"1"	"0.038"
"13211"	"80347"	"COASY"	"Coenzyme A synthase"	"8.0903e-10"	"0.551"	"0.654"
"13212"	"80349"	"WDR61"	"WD repeat domain 61"	"0.0048017"		
"13213"	"80350"	"LPAL2"	"lipoprotein(a) like 2, pseudogene"		"0.626"	"0.731"
"13214"	"80351"	"TNKS2"	"tankyrase 2"	"3.6661e-05"	"0.695"	"0.385"
"13215"	"80352"	"RNF39"	"ring finger protein 39"	"2.0207e-05"	"0.76"	"0.538"
"13216"	"80380"	"PDCD1LG2"	"programmed cell death 1 ligand 2"	"1.203e-05"	"0.496"	"0.769"
"13217"	"80381"	"CD276"	"CD276 molecule"	"2.4699e-09"	"0.505"	"0.731"
"13218"	"80700"	"UBXN6"	"UBX domain protein 6"	"5.4834e-06"	"0.931"	"0.154"
"13219"	"80704"	"SLC19A3"	"solute carrier family 19 member 3"	"0.1039"	"0.61"	"0.692"
"13220"	"80705"	"TSGA10"	"testis specific 10"	"0.10999"	"0.674"	"0.385"
"13221"	"80709"	"AKNA"	"AT-hook transcription factor"	"0.00012945"	"0.805"	"0.269"
"13222"	"80712"	"ESX1"	"ESX homeobox 1"	"0.52687"	"0.769"	"0.154"
"13223"	"80714"	"PBX4"	"PBX homeobox 4"	"5.2605e-05"	"0.839"	"0.231"
"13224"	"80723"	"SLC35G2"	"solute carrier family 35 member G2"	"0.039734"	"0.89"	"0.115"
"13225"	"80724"	"ACAD10"	"acyl-CoA dehydrogenase family member 10"	"1.0177e-30"	"0.76"	"0.308"
"13226"	"80725"	"SRCIN1"	"SRC kinase signaling inhibitor 1"	"0.99987"	"0.636"	"0.462"
"13227"	"80726"	"IQCN"	"IQ motif containing N"	"1.548e-08"	"1"	"0.038"
"13228"	"80727"	"TTYH3"	"tweety family member 3"	"0.99916"	"0.931"	"0.038"
"13229"	"80728"	"ARHGAP39"	"Rho GTPase activating protein 39"	"0.0081913"		
"13230"	"80731"	"THSD7B"	"thrombospondin type 1 domain containing 7B"	"2.6474e-19"	"0.89"	"0.154"
"13231"	"80736"	"SLC44A4"	"solute carrier family 44 member 4"	"1.0036e-14"	"0.678"	"0.615"
"13232"	"80737"	"VWA7"	"von Willebrand factor A domain containing 7"	"2.3119e-11"	"0.839"	"0.308"
"13233"	"80739"	"MPIG6B"	"megakaryocyte and platelet inhibitory receptor G6b"	"1.0837e-06"	"0.695"	"0.5"
"13234"	"80740"	"LY6G6C"	"lymphocyte antigen 6 family member G6C"	"0.00049312"	"0.821"	"0.385"
"13235"	"80741"	"LY6G5C"	"lymphocyte antigen 6 family member G5C"	"0.40546"	"0.931"	"0.192"
"13236"	"80742"	"PRR3"	"proline rich 3"	"0.0013939"	"0.931"	"0.154"
"13237"	"80745"	"THUMPD2"	"THUMP domain containing 2"	"1.5442e-09"	"1"	"0.077"
"13238"	"80746"	"TSEN2"	"tRNA splicing endonuclease subunit 2"	"1.0092e-11"	"0.705"	"0.423"
"13239"	"80758"	"PRR7"	"proline rich 7, synaptic"	"0.86893"		
"13240"	"80760"	"ITIH5"	"inter-alpha-trypsin inhibitor heavy chain 5"	"7.0952e-21"	"0.663"	"0.462"
"13241"	"80762"	"NDFIP1"	"Nedd4 family interacting protein 1"	"0.97747"	"0.716"	"0.462"
"13242"	"80763"	"SPX"	"spexin hormone"	"0.00011029"	"0.695"	"0.462"
"13243"	"80764"	"THAP7"	"THAP domain containing 7"	"0.013291"	"1"	"0.038"
"13244"	"80765"	"STARD5"	"StAR related lipid transfer domain containing 5"	"6.1762e-05"		
"13245"	"80772"	"CPTP"	"ceramide-1-phosphate transfer protein"	"0.02254"	"1"	"0.038"
"13246"	"80774"	"LIMD2"	"LIM domain containing 2"	"0.16402"	"0.705"	"0.308"
"13247"	"80775"	"TMEM177"	"transmembrane protein 177"	"0.0089914"		
"13248"	"80776"	"B9D2"	"B9 domain containing 2"	"5.2557e-05"	"0.606"	"0.577"
"13249"	"80777"	"CYB5B"	"cytochrome b5 type B"	"0.093498"	"0.861"	"0.192"
"13250"	"80778"	"ZNF34"	"zinc finger protein 34"	"0.00068775"	"0.931"	"0.115"
"13251"	"80781"	"COL18A1"	"collagen type XVIII alpha 1 chain"	"1.7414e-10"	"0.449"	"0.808"
"13252"	"80789"	"INTS5"	"integrator complex subunit 5"	"0.5135"		
"13253"	"80790"	"CMIP"	"c-Maf inducing protein"	"0.99999"	"0.682"	"0.577"
"13254"	"80816"	"ASXL3"	"ASXL transcriptional regulator 3"	"1"	"0.59"	"0.577"
"13255"	"80818"	"ZNF436"	"zinc finger protein 436"	"5.1273e-05"	"0.67"	"0.5"
"13256"	"80820"	"EEPD1"	"endonuclease/exonuclease/phosphatase family domain containing 1"	"0.054875"	"0.89"	"0.115"
"13257"	"80821"	"DDHD1"	"DDHD domain containing 1"	"0.902"	"0.716"	"0.423"
"13258"	"80823"	"BHLHB9"	"basic helix-loop-helix family member b9"	"0.02025"	"1"	"0.077"
"13259"	"80824"	"DUSP16"	"dual specificity phosphatase 16"	"0.088867"	"0.743"	"0.385"
"13260"	"80829"	"ZFP91"	"ZFP91 zinc finger protein"	"0.9997"	"0.78"	"0.154"
"13261"	"80830"	"APOL6"	"apolipoprotein L6"	"0.096029"	"0.839"	"0.269"
"13262"	"80831"	"APOL5"	"apolipoprotein L5"	"6.0075e-07"	"1"	
"13263"	"80832"	"APOL4"	"apolipoprotein L4"	"0.0010662"	"0.839"	"0.231"
"13264"	"80833"	"APOL3"	"apolipoprotein L3"	"0.00043634"	"0.805"	"0.231"
"13265"	"80834"	"TAS1R2"	"taste 1 receptor member 2"	"7.6139e-17"	"0.861"	"0.192"
"13266"	"80835"	"TAS1R1"	"taste 1 receptor member 1"	"7.3432e-14"	"0.89"	"0.077"
"13267"	"80852"	"GRIP2"	"glutamate receptor interacting protein 2"			
"13268"	"80853"	"KDM7A"	"lysine demethylase 7A"	"0.99986"	"0.769"	"0.308"
"13269"	"80854"	"SETD7"	"SET domain containing 7, histone lysine methyltransferase"	"0.0042257"	"0.628"	"0.615"
"13270"	"80856"	"LNPK"	"lunapark, ER junction formation factor"	"0.00062151"	"0.716"	"0.346"
"13271"	"80862"	"ZNRD1ASP"	"zinc ribbon domain containing 1 antisense, pseudogene"		"0.691"	"0.538"
"13272"	"80863"	"PRRT1"	"proline rich transmembrane protein 1"	"0.29845"	"0.821"	"0.269"
"13273"	"80864"	"EGFL8"	"EGF like domain multiple 8"	"1.1262e-07"	"0.792"	"0.269"
"13274"	"80868"	"HCG4B"	"HLA complex group 4B"		"1"	"0.038"
"13275"	"80895"	"ILKAP"	"ILK associated serine/threonine phosphatase"	"0.98116"	"0.821"	"0.115"
"13276"	"80896"	"NPL"	"N-acetylneuraminate pyruvate lyase"	"1.5688e-07"	"0.663"	"0.577"
"13277"	"80975"	"TMPRSS5"	"transmembrane serine protease 5"	"2.2562e-09"	"0.89"	"0.038"
"13278"	"81025"	"GJA9"	"gap junction protein alpha 9"	"4.6528e-12"		
"13279"	"81027"	"TUBB1"	"tubulin beta 1 class VI"	"1.0217e-07"	"0.78"	"0.385"
"13280"	"81029"	"WNT5B"	"Wnt family member 5B"	"0.58535"	"0.67"	"0.462"
"13281"	"81030"	"ZBP1"	"Z-DNA binding protein 1"	"1.8259e-14"	"0.666"	"0.654"
"13282"	"81031"	"SLC2A10"	"solute carrier family 2 member 10"	"1.5672e-08"	"0.55"	"0.615"
"13283"	"81033"	"KCNH6"	"potassium voltage-gated channel subfamily H member 6"	"7.1244e-31"	"0.736"	"0.269"
"13284"	"81034"	"SLC25A32"	"solute carrier family 25 member 32"	"6.7625e-09"	"0.821"	"0.115"
"13285"	"81035"	"COLEC12"	"collectin subfamily member 12"	"0.90761"	"0.76"	"0.423"
"13286"	"81037"	"CLPTM1L"	"CLPTM1 like"	"4.3885e-05"	"0.551"	"0.654"
"13287"	"81187"	"OR5M13P"	"olfactory receptor family 5 subfamily M member 13 pseudogene"			
"13288"	"81207"	"OR5BE1P"	"olfactory receptor family 5 subfamily BE member 1 pseudogene"			
"13289"	"81246"	"OR52Q1P"	"olfactory receptor family 52 subfamily Q member 1 pseudogene"			
"13290"	"81261"	"OR52H2P"	"olfactory receptor family 52 subfamily H member 2 pseudogene"			
"13291"	"81270"	"OR52B5P"	"olfactory receptor family 52 subfamily B member 5 pseudogene"			
"13292"	"81282"	"OR51G2"	"olfactory receptor family 51 subfamily G member 2"	"0.0036881"		
"13293"	"81285"	"OR51E2"	"olfactory receptor family 51 subfamily E member 2"	"0.00015308"	"0.751"	"0.192"
"13294"	"81309"	"OR4C15"	"olfactory receptor family 4 subfamily C member 15"	"6.5425e-09"		
"13295"	"81318"	"OR4A5"	"olfactory receptor family 4 subfamily A member 5"	"1.2516e-05"		
"13296"	"81345"	"OR10Q2P"	"olfactory receptor family 10 subfamily Q member 2 pseudogene"			
"13297"	"81363"	"OR7E108P"	"olfactory receptor family 7 subfamily E member 108 pseudogene"		"0.931"	"0.038"
"13298"	"81448"	"OR6K2"	"olfactory receptor family 6 subfamily K member 2"	"2.4185e-07"		
"13299"	"81488"	"POLR2M"	"RNA polymerase II subunit M"	"0.031082"	"0.89"	"0.269"
"13300"	"81491"	"GPR63"	"G protein-coupled receptor 63"	"0.19747"	"0.839"	"0.154"
"13301"	"81492"	"RSPH6A"	"radial spoke head 6 homolog A"	"2.3355e-10"	"0.821"	"0.308"
